"kew_id","family","genus","taxon_name","taxonomic_status","accepted_name","accepted_kew_id"
"816547-1","Solanaceae","Lycium","Lycium nodosum","Synonym","Lycium americanum","816336-1"
"146806-2","Solanaceae","Lycium","Lycium nodosum var. isthmense","Synonym","Lycium isthmense","146779-2"
"816550-1","Solanaceae","Lycium","Lycium obliquifolium","Synonym","Lycium europaeum","816435-1"
"816552-1","Solanaceae","Lycium","Lycium obovatum","Synonym","Ehretia capensis","115990-1"
"816551-1","Solanaceae","Lycium","Lycium obovatum","Homotypic_Synonym","Dunalia obovata","85814-2"
"816553-1","Solanaceae","Lycium","Lycium obtusum","Synonym","Lycium americanum","816336-1"
"146808-2","Solanaceae","Lycium","Lycium odonellii","Synonym","Lycium repens","146834-2"
"816554-1","Solanaceae","Lycium","Lycium omahekense","Synonym","Lycium horridum","816485-1"
"816555-1","Solanaceae","Lycium","Lycium oreophilum","Synonym","Lycium distichum","816417-1"
"816556-1","Solanaceae","Lycium","Lycium orientale","Synonym","Lycium europaeum","816435-1"
"816557-1","Solanaceae","Lycium","Lycium ovale","Synonym","Iochroma cornifolium","815972-1"
"816558-1","Solanaceae","Lycium","Lycium ovalilobum","Synonym","Lycium tenuispinosum var. calycinum","921159-1"
"146810-2","Solanaceae","Lycium","Lycium ovalilobum var. sleumeri","Synonym","Lycium tenuispinosum var. friesii","146866-2"
"816562-1","Solanaceae","Lycium","Lycium ovinum","Synonym","Lycium shawii","816629-1"
"816563-1","Solanaceae","Lycium","Lycium oxycarpum","Accepted","",""
"816564-1","Solanaceae","Lycium","Lycium oxycladum","Synonym","Lycium horridum","816485-1"
"146811-2","Solanaceae","Lycium","Lycium pachyclados","Synonym","Lycium deserti","816414-1"
"816566-1","Solanaceae","Lycium","Lycium pallidum","Accepted","",""
"290560-2","Solanaceae","Lycium","Lycium pallidum var. bigelovii","Synonym","Lycium pallidum var. pallidum","77225542-1"
"290557-2","Solanaceae","Lycium","Lycium pallidum var. cooperi","Synonym","Lycium pallidum var. pallidum","77225542-1"
"146813-2","Solanaceae","Lycium","Lycium pallidum var. fremontii","Synonym","Lycium pallidum var. pallidum","77225542-1"
"290558-2","Solanaceae","Lycium","Lycium pallidum var. gracilipes","Synonym","Lycium pallidum var. pallidum","77225542-1"
"146814-2","Solanaceae","Lycium","Lycium pallidum var. macrodon","Synonym","Lycium pallidum var. pallidum","77225542-1"
"146815-2","Solanaceae","Lycium","Lycium pallidum var. normale","Synonym","Lycium pallidum","816566-1"
"146816-2","Solanaceae","Lycium","Lycium pallidum var. oligospermum","Accepted","",""
"77225542-1","Solanaceae","Lycium","Lycium pallidum var. pallidum","Accepted","",""
"816567-1","Solanaceae","Lycium","Lycium palmeri","Synonym","Lycium berlandieri var. berlandieri","77225119-1"
"816568-1","Solanaceae","Lycium","Lycium parishii","Accepted","",""
"146817-2","Solanaceae","Lycium","Lycium parishii var. modestum","Accepted","",""
"77225589-1","Solanaceae","Lycium","Lycium parishii var. parishii","Accepted","",""
"816569-1","Solanaceae","Lycium","Lycium parviflorum","Homotypic_Synonym","Lycium berlandieri var. parviflorum","289458-2"
"304627-2","Solanaceae","Lycium","Lycium parvifolium","Homotypic_Synonym","Iochroma parvifolium","974603-1"
"77118769-1","Solanaceae","Lycium","Lycium parvifolium","Synonym","Lycium ningxiaense","77141843-1"
"146818-2","Solanaceae","Lycium","Lycium parvifolium var. peninsulare","Synonym","Iochroma parvifolium","974603-1"
"816571-1","Solanaceae","Lycium","Lycium patagonicum","Synonym","Lycium chilense var. descolei","146712-2"
"146820-2","Solanaceae","Lycium","Lycium patagonicum var. longiflorum","Synonym","Lycium gilliesianum","816461-1"
"146821-2","Solanaceae","Lycium","Lycium patagonicum var. melanopotamicum","Synonym","Lycium chilense var. confertifolium","146711-2"
"146822-2","Solanaceae","Lycium","Lycium patagonicum var. normale","Synonym","Lycium chilense var. descolei","146712-2"
"290593-2","Solanaceae","Lycium","Lycium patagonicum var. pubescens","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"816572-1","Solanaceae","Lycium","Lycium pauciflorum","Synonym","Lycium bosciifolium","816366-1"
"146823-2","Solanaceae","Lycium","Lycium paucifolium","Synonym","Lycium infaustum","816496-1"
"146824-2","Solanaceae","Lycium","Lycium penduliflorum","Synonym","Lycium fuscum","816457-1"
"816575-1","Solanaceae","Lycium","Lycium pendulinum","Synonym","Lycium acutifolium","816324-1"
"816576-1","Solanaceae","Lycium","Lycium pendulum","Unplaced","",""
"146825-2","Solanaceae","Lycium","Lycium peninsulare","Synonym","Lycium berlandieri var. berlandieri","77225119-1"
"816578-1","Solanaceae","Lycium","Lycium persicum","Synonym","Lycium shawii","816629-1"
"816579-1","Solanaceae","Lycium","Lycium peruvianum","Synonym","Dunalia obovata","85814-2"
"816580-1","Solanaceae","Lycium","Lycium petraeum","Accepted","",""
"146826-2","Solanaceae","Lycium","Lycium philippianum","Synonym","Lycium chilense var. minutifolium","146718-2"
"816581-1","Solanaceae","Lycium","Lycium pilifolium","Accepted","",""
"816582-1","Solanaceae","Lycium","Lycium pilosum","Synonym","Lycium hirsutum","816483-1"
"146827-2","Solanaceae","Lycium","Lycium piocorreanum","Synonym","Lycium martii","816526-1"
"816584-1","Solanaceae","Lycium","Lycium potaninii","Homotypic_Synonym","Lycium chinense var. potaninii","891636-1"
"816585-1","Solanaceae","Lycium","Lycium pringlei","Synonym","Lycium parishii var. parishii","77225589-1"
"816586-1","Solanaceae","Lycium","Lycium propinquum","Synonym","Lycium afrum","816326-1"
"816587-1","Solanaceae","Lycium","Lycium pruinosum","Synonym","Lycium americanum","816336-1"
"816588-1","Solanaceae","Lycium","Lycium prunus-spinosa","Synonym","Lycium cinereum","816392-1"
"816589-1","Solanaceae","Lycium","Lycium puberulum","Accepted","",""
"146828-2","Solanaceae","Lycium","Lycium puberulum var. berberidoides","Accepted","",""
"77225203-1","Solanaceae","Lycium","Lycium puberulum var. puberulum","Accepted","",""
"816590-1","Solanaceae","Lycium","Lycium pubescens","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"146829-2","Solanaceae","Lycium","Lycium pubitubum","Accepted","",""
"816592-1","Solanaceae","Lycium","Lycium pulchellum","Unplaced","",""
"146830-2","Solanaceae","Lycium","Lycium pulverulentum","Synonym","Lycium chilense var. chilense","77225834-1"
"816594-1","Solanaceae","Lycium","Lycium pumilum","Accepted","",""
"77115882-1","Solanaceae","Lycium","Lycium qingshuigeense","Accepted","",""
"146831-2","Solanaceae","Lycium","Lycium quadrifidum","Homotypic_Synonym","Lycium carolinianum var. quadrifidum","146706-2"
"816596-1","Solanaceae","Lycium","Lycium quitense","Homotypic_Synonym","Saracha quitensis","817862-1"
"816597-1","Solanaceae","Lycium","Lycium rachidocladum","Accepted","",""
"816598-1","Solanaceae","Lycium","Lycium rangei","Synonym","Lycium bosciifolium","816366-1"
"146834-2","Solanaceae","Lycium","Lycium repens","Accepted","",""
"816600-1","Solanaceae","Lycium","Lycium requienii","Unplaced","",""
"146835-2","Solanaceae","Lycium","Lycium retusum","Synonym","Lycium exsertum","816440-1"
"146836-2","Solanaceae","Lycium","Lycium rhadinum","Synonym","Lycium chilense var. glaberrimum","289246-2"
"816603-1","Solanaceae","Lycium","Lycium rhombifolium","Synonym","Lycium chinense var. chinense","77225335-1"
"289763-2","Solanaceae","Lycium","Lycium rhudolphii","Synonym","Lycium minutifolium","816540-1"
"816604-1","Solanaceae","Lycium","Lycium richii","Synonym","Lycium brevipes var. brevipes","77225454-1"
"146837-2","Solanaceae","Lycium","Lycium richii var. hassei","Homotypic_Synonym","Lycium brevipes var. hassei","146696-2"
"146838-2","Solanaceae","Lycium","Lycium rickardii","Synonym","Lycium shockleyi","146858-2"
"816606-1","Solanaceae","Lycium","Lycium rigidum","Synonym","Lycium afrum","816326-1"
"816607-1","Solanaceae","Lycium","Lycium roridum","Synonym","Lycium cinereum","816392-1"
"816608-1","Solanaceae","Lycium","Lycium roseum","Unplaced","",""
"816609-1","Solanaceae","Lycium","Lycium ruthenicum","Accepted","",""
"816610-1","Solanaceae","Lycium","Lycium saevum","Synonym","Lycium europaeum","816435-1"
"816611-1","Solanaceae","Lycium","Lycium salicifolium","Synonym","Lycium europaeum","816435-1"
"816612-1","Solanaceae","Lycium","Lycium salinicola","Synonym","Lycium pumilum","816594-1"
"816613-1","Solanaceae","Lycium","Lycium salsum","Synonym","Lycium americanum","816336-1"
"816614-1","Solanaceae","Lycium","Lycium salsum","Synonym","Lycium carolinianum var. carolinianum","77225814-1"
"146840-2","Solanaceae","Lycium","Lycium salsum var. chilense","Synonym","Lycium chilense var. chilense","77225834-1"
"288454-2","Solanaceae","Lycium","Lycium salsum var. fagosum","Synonym","Lycium stenophyllum","816647-1"
"146841-2","Solanaceae","Lycium","Lycium salsum var. floribundum","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"146842-2","Solanaceae","Lycium","Lycium salsum var. gracile","Synonym","Lycium chilense var. glaberrimum","289246-2"
"146843-2","Solanaceae","Lycium","Lycium salsum var. normale","Synonym","Lycium americanum","816336-1"
"146844-2","Solanaceae","Lycium","Lycium salsum var. patagonicum","Synonym","Lycium chilense var. descolei","146712-2"
"146845-2","Solanaceae","Lycium","Lycium salsum var. pubescens","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"146846-2","Solanaceae","Lycium","Lycium salsum var. typicum","Unplaced","",""
"816615-1","Solanaceae","Lycium","Lycium sandwicense","Accepted","",""
"816616-1","Solanaceae","Lycium","Lycium scabrum","Synonym","Lycium distichum","816417-1"
"816617-1","Solanaceae","Lycium","Lycium schaeferi","Synonym","Lycium bosciifolium","816366-1"
"816618-1","Solanaceae","Lycium","Lycium schaffneri","Accepted","",""
"146847-2","Solanaceae","Lycium","Lycium schickendantzii","Synonym","Lycium ciliatum","816391-1"
"816620-1","Solanaceae","Lycium","Lycium schizocalyx","Accepted","",""
"816621-1","Solanaceae","Lycium","Lycium schoenlandii","Synonym","Lycium horridum","816485-1"
"146848-2","Solanaceae","Lycium","Lycium schreiteri","Accepted","",""
"816623-1","Solanaceae","Lycium","Lycium schweinfurthii","Accepted","",""
"77251522-1","Solanaceae","Lycium","Lycium schweinfurthii var. aschersonii","Accepted","",""
"77225019-1","Solanaceae","Lycium","Lycium schweinfurthii var. schweinfurthii","Accepted","",""
"816624-1","Solanaceae","Lycium","Lycium scoparium","Synonym","Lycium chilense var. chilense","77225834-1"
"146850-2","Solanaceae","Lycium","Lycium scoparium var. affine","Synonym","Lycium chilense var. chilense","77225834-1"
"146852-2","Solanaceae","Lycium","Lycium scoparium var. argentinum","Synonym","Lycium ciliatum","816391-1"
"146851-2","Solanaceae","Lycium","Lycium scoparium var. argentinum","Synonym","Lycium ciliatum","816391-1"
"146853-2","Solanaceae","Lycium","Lycium scoparium var. calycinum","Homotypic_Synonym","Lycium tenuispinosum var. calycinum","921159-1"
"288345-2","Solanaceae","Lycium","Lycium scoparium var. confertiflorum","Synonym","Lycium chilense var. confertifolium","146711-2"
"146854-2","Solanaceae","Lycium","Lycium scoparium var. divaricatum","Synonym","Lycium chilense var. chilense","77225834-1"
"288274-2","Solanaceae","Lycium","Lycium scoparium var. fuscum","Synonym","Lycium fuscum","816457-1"
"288273-2","Solanaceae","Lycium","Lycium scoparium var. grevilleanum","Synonym","Lycium chilense var. chilense","77225834-1"
"146855-2","Solanaceae","Lycium","Lycium scoparium var. lineare","Synonym","Lycium chilense var. chilense","77225834-1"
"146856-2","Solanaceae","Lycium","Lycium scoparium var. normale","Synonym","Lycium chilense var. chilense","77225834-1"
"288452-2","Solanaceae","Lycium","Lycium scoparium var. umbrosum","Synonym","Lycium chilense var. chilense","77225834-1"
"816625-1","Solanaceae","Lycium","Lycium seineri","Synonym","Lycium cinereum","816392-1"
"816626-1","Solanaceae","Lycium","Lycium senticosum","Synonym","Lycium berlandieri var. berlandieri","77225119-1"
"816627-1","Solanaceae","Lycium","Lycium serpyllifolium","Unplaced","",""
"146857-2","Solanaceae","Lycium","Lycium sessiliflorum","Synonym","Lycium chilense var. glaberrimum","289246-2"
"816629-1","Solanaceae","Lycium","Lycium shawii","Accepted","",""
"891640-1","Solanaceae","Lycium","Lycium shawii var. leptophyllum","Synonym","Lycium shawii","816629-1"
"146858-2","Solanaceae","Lycium","Lycium shockleyi","Accepted","",""
"816632-1","Solanaceae","Lycium","Lycium siculum","Synonym","Lycium europaeum","816435-1"
"816634-1","Solanaceae","Lycium","Lycium sinense","Synonym","Lycium ciliatum","816391-1"
"816635-1","Solanaceae","Lycium","Lycium sokotranum","Accepted","",""
"816636-1","Solanaceae","Lycium","Lycium somalense","Synonym","Lycium shawii","816629-1"
"146859-2","Solanaceae","Lycium","Lycium sparrei","Synonym","Lycium chilense var. glaberrimum","289246-2"
"816638-1","Solanaceae","Lycium","Lycium spathulatum","Synonym","Dunalia spathulata","815696-1"
"816639-1","Solanaceae","Lycium","Lycium spathulatum","Homotypic_Synonym","Dunalia spathulata","815696-1"
"146860-2","Solanaceae","Lycium","Lycium spathulifolium","Synonym","Lycium americanum","816336-1"
"146861-2","Solanaceae","Lycium","Lycium spencerae","Unplaced","",""
"816642-1","Solanaceae","Lycium","Lycium spina-christi","Synonym","Lycium europaeum","816435-1"
"816643-1","Solanaceae","Lycium","Lycium spinosum","Unplaced","",""
"816644-1","Solanaceae","Lycium","Lycium spinosum","Synonym","Lycium europaeum","816435-1"
"816645-1","Solanaceae","Lycium","Lycium spinulosum","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"146862-2","Solanaceae","Lycium","Lycium spinulosum var. parvifolium","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"816646-1","Solanaceae","Lycium","Lycium squarrosum","Synonym","Lycium bosciifolium","816366-1"
"816647-1","Solanaceae","Lycium","Lycium stenophyllum","Accepted","",""
"816648-1","Solanaceae","Lycium","Lycium stolidum","Synonym","Lycium berlandieri var. berlandieri","77225119-1"
"60433023-2","Solanaceae","Lycium","Lycium strandveldense","Accepted","",""
"146863-2","Solanaceae","Lycium","Lycium subglabrum","Synonym","Lycium americanum","816336-1"
"816650-1","Solanaceae","Lycium","Lycium subglobosum","Synonym","Lycium chinense var. chinense","77225335-1"
"146864-2","Solanaceae","Lycium","Lycium subtridentatum","Synonym","Lycium americanum","816336-1"
"816652-1","Solanaceae","Lycium","Lycium tataricum","Synonym","Lycium ruthenicum","816609-1"
"816653-1","Solanaceae","Lycium","Lycium tenue","Accepted","",""
"816654-1","Solanaceae","Lycium","Lycium tenuiramosum","Synonym","Lycium shawii","816629-1"
"816655-1","Solanaceae","Lycium","Lycium tenuispinosum","Accepted","",""
"921159-1","Solanaceae","Lycium","Lycium tenuispinosum var. calycinum","Accepted","",""
"146866-2","Solanaceae","Lycium","Lycium tenuispinosum var. friesii","Accepted","",""
"77225600-1","Solanaceae","Lycium","Lycium tenuispinosum var. tenuispinosum","Accepted","",""
"816656-1","Solanaceae","Lycium","Lycium tetrandrum","Accepted","",""
"146867-2","Solanaceae","Lycium","Lycium texanum","Accepted","",""
"816658-1","Solanaceae","Lycium","Lycium thunbergii","Synonym","Lycium barbarum var. barbarum","77224962-1"
"816659-1","Solanaceae","Lycium","Lycium torreyi","Accepted","",""
"146869-2","Solanaceae","Lycium","Lycium torreyi var. filiforme","Synonym","Lycium torreyi","816659-1"
"146870-2","Solanaceae","Lycium","Lycium torreyi var. wrightii","Synonym","Lycium torreyi","816659-1"
"816660-1","Solanaceae","Lycium","Lycium trewianum","Synonym","Lycium barbarum var. barbarum","77224962-1"
"816661-1","Solanaceae","Lycium","Lycium trothae","Synonym","Lycium eenii","816425-1"
"816662-1","Solanaceae","Lycium","Lycium truncatum","Accepted","",""
"816664-1","Solanaceae","Lycium","Lycium turcomannicum","Synonym","Lycium ruthenicum","816609-1"
"816665-1","Solanaceae","Lycium","Lycium tweedyanum","Synonym","Lycium americanum","816336-1"
"146871-2","Solanaceae","Lycium","Lycium tweedyanum var. chrysocarpum","Synonym","Lycium americanum","816336-1"
"146872-2","Solanaceae","Lycium","Lycium tweedyanum var. heterophyllum","Synonym","Lycium americanum","816336-1"
"146873-2","Solanaceae","Lycium","Lycium tweedyanum var. pruinosum","Synonym","Lycium americanum","816336-1"
"146874-2","Solanaceae","Lycium","Lycium umbellatum","Synonym","Lycium fremontii","816453-1"
"146875-2","Solanaceae","Lycium","Lycium umbellatum","Homotypic_Synonym","Trozelia umbellata","821646-1"
"816668-1","Solanaceae","Lycium","Lycium umbrosum","Synonym","Iochroma gesnerioides","815978-1"
"816669-1","Solanaceae","Lycium","Lycium undulatum","Synonym","Lycium horridum","816485-1"
"146876-2","Solanaceae","Lycium","Lycium venosum","Synonym","Lycium chilense var. glaberrimum","289246-2"
"816671-1","Solanaceae","Lycium","Lycium venturii","Synonym","Lycium tenuispinosum var. friesii","146866-2"
"146878-2","Solanaceae","Lycium","Lycium vergarae","Homotypic_Synonym","Lycium chilense var. vergarae","279964-2"
"146879-2","Solanaceae","Lycium","Lycium verrucosum","Synonym","Lycium brevipes var. brevipes","77225454-1"
"816674-1","Solanaceae","Lycium","Lycium villosum","Accepted","",""
"816675-1","Solanaceae","Lycium","Lycium vimineum","Accepted","",""
"816676-1","Solanaceae","Lycium","Lycium vulgare","Synonym","Lycium barbarum var. barbarum","77224962-1"
"816677-1","Solanaceae","Lycium","Lycium wilkesii","Synonym","Lycium gilliesianum","816461-1"
"816678-1","Solanaceae","Lycium","Lycium withaniifolium","Synonym","Lycium shawii","816629-1"
"816679-1","Solanaceae","Lycium","Lycium woodii","Synonym","Lycium cinereum","816392-1"
"816680-1","Solanaceae","Lycium","Lycium yunnanense","Accepted","",""
