"kew_id","family","genus","taxon_name","taxonomic_status","accepted_name","accepted_kew_id"
"146713-2","Solanaceae","Lycium","Lycium chilense var. glabriusculum","Synonym","Lycium chilense var. glaberrimum","289246-2"
"146714-2","Solanaceae","Lycium","Lycium chilense subsp. gracile","Synonym","Lycium chilense var. glaberrimum","289246-2"
"289240-2","Solanaceae","Lycium","Lycium chilense var. gracile","Synonym","Lycium chilense var. glaberrimum","289246-2"
"146715-2","Solanaceae","Lycium","Lycium chilense var. heterophyllum","Synonym","Lycium americanum","816336-1"
"146716-2","Solanaceae","Lycium","Lycium chilense var. implexum","Synonym","Lycium minutifolium","816540-1"
"146717-2","Solanaceae","Lycium","Lycium chilense var. meyeri","Synonym","Lycium ciliatum","816391-1"
"146718-2","Solanaceae","Lycium","Lycium chilense var. minutifolium","Accepted","",""
"289245-2","Solanaceae","Lycium","Lycium chilense var. nodosum","Synonym","Lycium americanum","816336-1"
"146719-2","Solanaceae","Lycium","Lycium chilense var. normale","Synonym","Lycium chilense var. chilense","77225834-1"
"146721-2","Solanaceae","Lycium","Lycium chilense var. odonellii","Synonym","Lycium chilense var. chilense","77225834-1"
"146722-2","Solanaceae","Lycium","Lycium chilense var. ovatum","Synonym","Lycium chilense var. chilense","77225834-1"
"146723-2","Solanaceae","Lycium","Lycium chilense subsp. paraguariense","Synonym","Lycium americanum","816336-1"
"146724-2","Solanaceae","Lycium","Lycium chilense var. peruviense","Synonym","Lycium chilense var. glaberrimum","289246-2"
"146725-2","Solanaceae","Lycium","Lycium chilense var. petiolatum","Synonym","Lycium chilense var. chilense","77225834-1"
"146726-2","Solanaceae","Lycium","Lycium chilense var. rachidocladum","Homotypic_Synonym","Lycium rachidocladum","816597-1"
"146727-2","Solanaceae","Lycium","Lycium chilense var. rhadinum","Synonym","Lycium chilense var. glaberrimum","289246-2"
"146728-2","Solanaceae","Lycium","Lycium chilense var. tomentosulum","Synonym","Lycium chilense var. chilense","77225834-1"
"279964-2","Solanaceae","Lycium","Lycium chilense var. vergarae","Accepted","",""
"289244-2","Solanaceae","Lycium","Lycium chilense var. vimineum","Homotypic_Synonym","Lycium vimineum","816675-1"
"816389-1","Solanaceae","Lycium","Lycium chinense","Accepted","",""
"77225335-1","Solanaceae","Lycium","Lycium chinense var. chinense","Accepted","",""
"891636-1","Solanaceae","Lycium","Lycium chinense var. potaninii","Accepted","",""
"146730-2","Solanaceae","Lycium","Lycium chubutense","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"931356-1","Solanaceae","Lycium","Lycium × ciliatoelongatum","Unplaced","",""
"816391-1","Solanaceae","Lycium","Lycium ciliatum","Accepted","",""
"146732-2","Solanaceae","Lycium","Lycium ciliatum var. cordobense","Synonym","Lycium ciliatum","816391-1"
"146733-2","Solanaceae","Lycium","Lycium ciliatum var. heteromorphum","Synonym","Lycium ciliatum","816391-1"
"146734-2","Solanaceae","Lycium","Lycium ciliatum var. latifolium","Synonym","Lycium ciliatum","816391-1"
"146735-2","Solanaceae","Lycium","Lycium ciliatum var. saltense","Synonym","Lycium ciliatum","816391-1"
"816393-1","Solanaceae","Lycium","Lycium cinereum","Unplaced","",""
"816392-1","Solanaceae","Lycium","Lycium cinereum","Accepted","",""
"816394-1","Solanaceae","Lycium","Lycium cochinchinense","Synonym","Lycium barbarum var. barbarum","77224962-1"
"816395-1","Solanaceae","Lycium","Lycium colletioides","Synonym","Lycium pumilum","816594-1"
"146736-2","Solanaceae","Lycium","Lycium colorans","Synonym","Lycium cuneatum","146741-2"
"279965-2","Solanaceae","Lycium","Lycium comberi","Homotypic_Synonym","Lycium chilense var. comberi","279962-2"
"146738-2","Solanaceae","Lycium","Lycium comberi var. donatii","Synonym","Lycium chilense var. descolei","146712-2"
"816398-1","Solanaceae","Lycium","Lycium confertum","Accepted","",""
"816400-1","Solanaceae","Lycium","Lycium cooperi","Accepted","",""
"289478-2","Solanaceae","Lycium","Lycium cooperi var. pubiflora","Synonym","Lycium cooperi","816400-1"
"816401-1","Solanaceae","Lycium","Lycium cordatum","Unplaced","",""
"1029477-2","Solanaceae","Lycium","Lycium cornifolium","Homotypic_Synonym","Iochroma cornifolium","815972-1"
"816403-1","Solanaceae","Lycium","Lycium crassifolium","Synonym","Lycium afrum","816326-1"
"146740-2","Solanaceae","Lycium","Lycium crassispina","Synonym","Lycium chanar","146709-2"
"816405-1","Solanaceae","Lycium","Lycium cufodontii","Synonym","Lycium shawii","816629-1"
"146741-2","Solanaceae","Lycium","Lycium cuneatum","Accepted","",""
"146742-2","Solanaceae","Lycium","Lycium cuneatum var. rojasii","Synonym","Lycium cuneatum","146741-2"
"816407-1","Solanaceae","Lycium","Lycium cyathiformum","Accepted","",""
"816408-1","Solanaceae","Lycium","Lycium cylindricum","Accepted","",""
"816409-1","Solanaceae","Lycium","Lycium dasystemum","Accepted","",""
"891637-1","Solanaceae","Lycium","Lycium dasystemum var. rubricaulium","Synonym","Lycium dasystemum","816409-1"
"816410-1","Solanaceae","Lycium","Lycium decipiens","Synonym","Lycium chanar","146709-2"
"816411-1","Solanaceae","Lycium","Lycium decumbens","Accepted","",""
"146745-2","Solanaceae","Lycium","Lycium densifolium","Accepted","",""
"816413-1","Solanaceae","Lycium","Lycium depressum","Accepted","",""
"891638-1","Solanaceae","Lycium","Lycium depressum subsp. angustifolium","Accepted","",""
"77224926-1","Solanaceae","Lycium","Lycium depressum subsp. depressum","Accepted","",""
"816414-1","Solanaceae","Lycium","Lycium deserti","Accepted","",""
"816415-1","Solanaceae","Lycium","Lycium dinteri","Synonym","Lycium pilifolium","816581-1"
"146746-2","Solanaceae","Lycium","Lycium dispermum","Homotypic_Synonym","Lycium macrodon var. dispermum","146787-2"
"816417-1","Solanaceae","Lycium","Lycium distichum","Accepted","",""
"146747-2","Solanaceae","Lycium","Lycium divaricatum","Synonym","Lycium distichum","816417-1"
"816419-1","Solanaceae","Lycium","Lycium dumosum","Synonym","Lycium europaeum","816435-1"
"816420-1","Solanaceae","Lycium","Lycium dunalianum","Synonym","Lycium barbarum var. barbarum","77224962-1"
"816421-1","Solanaceae","Lycium","Lycium dunalioides","Synonym","Lycium bosciifolium","816366-1"
"146748-2","Solanaceae","Lycium","Lycium durispina","Synonym","Lycium ameghinoi","146678-2"
"816423-1","Solanaceae","Lycium","Lycium echinatum","Synonym","Lycium horridum","816485-1"
"816424-1","Solanaceae","Lycium","Lycium edgeworthii","Accepted","",""
"816425-1","Solanaceae","Lycium","Lycium eenii","Accepted","",""
"816426-1","Solanaceae","Lycium","Lycium ellenbeckii","Synonym","Lycium shawii","816629-1"
"816427-1","Solanaceae","Lycium","Lycium elliotii","Synonym","Lycium acutifolium","816324-1"
"816428-1","Solanaceae","Lycium","Lycium elongatocestroides","Unplaced","",""
"816430-1","Solanaceae","Lycium","Lycium elongatum","Synonym","Lycium confertum","816398-1"
"816429-1","Solanaceae","Lycium","Lycium elongatum","Synonym","Lycium chinense var. chinense","77225335-1"
"146749-2","Solanaceae","Lycium","Lycium elongatum var. longifolium","Synonym","Lycium gilliesianum","816461-1"
"146750-2","Solanaceae","Lycium","Lycium elongatum var. riojana","Synonym","Lycium fuscum","816457-1"
"816431-1","Solanaceae","Lycium","Lycium emarginatum","Synonym","Lycium bosciifolium","816366-1"
"816432-1","Solanaceae","Lycium","Lycium engleri","Synonym","Lycium cinereum","816392-1"
"816433-1","Solanaceae","Lycium","Lycium erosum","Synonym","Lycium ciliatum","816391-1"
"816434-1","Solanaceae","Lycium","Lycium erythraeum","Synonym","Lycium shawii","816629-1"
"816435-1","Solanaceae","Lycium","Lycium europaeum","Accepted","",""
"816439-1","Solanaceae","Lycium","Lycium europaeum","Synonym","Lycium chinense var. chinense","77225335-1"
"816440-1","Solanaceae","Lycium","Lycium exsertum","Accepted","",""
"816441-1","Solanaceae","Lycium","Lycium fagosum","Synonym","Lycium stenophyllum","816647-1"
"816442-1","Solanaceae","Lycium","Lycium ferocissimum","Accepted","",""
