"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"Lycium acutifolium","Lycium","","acutifolium",NA,NA,"","","tro-29603771",TRUE,"1.1","Accepted","Solanaceae","Lycium","","acutifolium","","","E. Mey. ex Dunal","tro-29603771","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium afrum","Lycium","","afrum",NA,NA,"","","kew-2496320",TRUE,"1.1","Accepted","Solanaceae","Lycium","","afrum","","","L.","kew-2496320","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium ameghinoi","Lycium","","ameghinoi",NA,NA,"","","tro-29600012",TRUE,"1.1","Accepted","Solanaceae","Lycium","","ameghinoi","","","Speg.","tro-29600012","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium americanum","Lycium","","americanum",NA,NA,"","","tro-29600013",TRUE,"1.1","Accepted","Solanaceae","Lycium","","americanum","","","Jacq.","tro-29600013","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium andersonii","Lycium","","andersonii",NA,NA,"","","tro-29600014",TRUE,"1.1","Accepted","Solanaceae","Lycium","","andersonii","","","A. Gray","tro-29600014","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium andersonii var. deserticola","Lycium","","andersonii",NA,"var.","deserticola","","tro-29600016",TRUE,"1.1","Accepted","Solanaceae","Lycium","","andersonii","var.","deserticola","(C.L. Hitchc.) Jeps.","tro-29600016","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium arenicolum","Lycium","","arenicolum",NA,NA,"","","tro-50040549",TRUE,"1.1","Accepted","Solanaceae","Lycium","","arenicolum","","","Miers","tro-50040549","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium barbarum","Lycium","","barbarum",NA,NA,"","","kew-2499019",TRUE,"1.1","Accepted","Solanaceae","Lycium","","barbarum","","","L.","kew-2499019","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium berberioides","Lycium","","berberioides",NA,NA,"","","tro-29602505",TRUE,"1.1","Accepted","Solanaceae","Lycium","","berberioides","","","Correll","tro-29602505","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium berlandieri","Lycium","","berlandieri",NA,NA,"","","tro-29600020",TRUE,"1.1","Accepted","Solanaceae","Lycium","","berlandieri","","","Dunal","tro-29600020","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium berlandieri var. parviflorum","Lycium","","berlandieri",NA,"var.","parviflorum","","tro-29600023",TRUE,"1.1","Accepted","Solanaceae","Lycium","","berlandieri","var.","parviflorum","(A. Gray) A. Terracc.","tro-29600023","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium bosciifolium","Lycium","","bosciifolium",NA,NA,"","","kew-2499121",TRUE,"1.1","Accepted","Solanaceae","Lycium","","bosciifolium","","","Schinz","kew-2499121","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium brevipes","Lycium","","brevipes",NA,NA,"","","tro-29600026",TRUE,"1.1","Accepted","Solanaceae","Lycium","","brevipes","","","Benth.","tro-29600026","Accepted",FALSE,FALSE,FALSE,2018-11-01
