Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Lycium eenii,Lycium,,eenii,NA,NA,,,tro-29603799,TRUE,1.1,Accepted,Solanaceae,Lycium,,eenii,,,S. Moore,tro-29603799,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium elongatum,Lycium,,elongatum,NA,NA,,,tro-29600011,TRUE,1.1,Accepted,Solanaceae,Lycium,,elongatum,,,Miers,tro-29600011,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium europaeum,Lycium,,europaeum,NA,NA,,,kew-2496714,TRUE,1.1,Accepted,Solanaceae,Lycium,,europaeum,,,L.,kew-2496714,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium exsertum,Lycium,,exsertum,NA,NA,,,tro-29600044,TRUE,1.1,Accepted,Solanaceae,Lycium,,exsertum,,,A. Gray,tro-29600044,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium ferocissimum,Lycium,,ferocissimum,NA,NA,,,kew-2496709,TRUE,1.1,Accepted,Solanaceae,Lycium,,ferocissimum,,,Miers,kew-2496709,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium fremontii,Lycium,,fremontii,NA,NA,,,tro-29600045,TRUE,1.1,Accepted,Solanaceae,Lycium,,fremontii,,,A. Gray,tro-29600045,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium fuscum,Lycium,,fuscum,NA,NA,,,tro-29600047,TRUE,1.1,Accepted,Solanaceae,Lycium,,fuscum,,,Miers,tro-29600047,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium gilliesianum,Lycium,,gilliesianum,NA,NA,,,tro-29600048,TRUE,1.1,Accepted,Solanaceae,Lycium,,gilliesianum,,,Miers,tro-29600048,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium hirsutum,Lycium,,hirsutum,NA,NA,,,tro-29603804,TRUE,1.1,Accepted,Solanaceae,Lycium,,hirsutum,,,Dunal,tro-29603804,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium horridum,Lycium,,horridum,NA,NA,,,kew-2496774,TRUE,1.1,Accepted,Solanaceae,Lycium,,horridum,,,Thunb.,kew-2496774,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium infaustum,Lycium,,infaustum,NA,NA,,,tro-29605038,TRUE,1.1,Accepted,Solanaceae,Lycium,,infaustum,,,Miers,tro-29605038,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium intricatum,Lycium,,intricatum,NA,NA,,,kew-2496762,TRUE,1.1,Accepted,Solanaceae,Lycium,,intricatum,,,Boiss.,kew-2496762,Accepted,FALSE,FALSE,FALSE,11/29/2018
